LOG1;DATA_HORA
R.SAO JOAQUIM;20090113 18:20
R.ANTONIO CARLOS BERTA;20090113 18:20
AC JOSE MARCELINO MARTINS;20090113 18:20
AV.SERTORIO;20090113 18:20
AV.NONOAI;20090113 18:55
R.MARECHAL JOSE INACIO DA SILVA;20090113 19:00
AV.ALBERTO PASQUALINI;20090113 19:35
AV.SERTORIO;20090113 21:00
AV.BENNO MENTZ;20090113 21:30
R.FELICISSIMO DE AZEVEDO;20090113 22:00
AV.SERTORIO;20090114 00:20
R.CRUZEIRO DO SUL;20090114 01:00
AV.SERTORIO;20090114 02:30
R.DONA MARGARIDA;20090114 05:25
AV.CEARA;20090114 07:50
AV.PROTASIO ALVES;20090114 08:15
R.DA REPUBLICA;20090114 08:45
AV.FRANCISCO SILVEIRA BITENCOURT;20090114 09:35
AV.BENTO GONCALVES;20090114 09:55
R.MARQUES DO MARICA;20090114 10:30
AV.SAO PEDRO;20090114 10:35
R.RAMIRO BARCELOS;20090114 11:55
R.IRMAO JOSE OTAO;20090114 12:10
AV.AMAZONAS;20090114 12:30
R.ITABORAI;20090114 12:40
AV.CRISTOVAO COLOMBO;20090114 13:00
AV.PLINIO BRASIL MILANO;20090114 13:00
R.SENHOR.DO BOM FIM;20090114 13:05
R.SAO MANOEL;20090114 13:10
R.CEL BORDINI;20090114 14:03
AV.PRINCESA ISABEL;20090114 14:10
R.IRMAO JOSE OTAO;20090114 14:30
AV.DR.NILO PECANHA;20090114 14:50
AV.FARRAPOS;20090114 15:20
AV.SENADOR.TARSO DUTRA;20090114 15:25
R.ANITA GARIBALDI;20090114 15:45
AV.EDUARDO PRADO;20090114 15:50
R.CORCOVADO;20090114 16:10
R.ANITA GARIBALDI;20090114 16:30
R.DR.TIMOTEO;20090114 16:35
AV.ASSIS BRASIL;20090114 16:35
AV.ASSIS BRASIL;20090114 16:40
R.MIGUEL TOSTES;20090114 16:45
AV.CRISTOVAO COLOMBO;20090114 16:45
AV.ALBERTO BINS;20090114 16:50
AV.CEARA;20090114 16:50
AV.SERTORIO;20090114 16:50
AV.OSVALDO ARANHA;20090114 17:20
R.DR.ALCIDES CRUZ;20090114 17:45
R.MOSTARDEIRO;20090114 18:00
AV.PROTASIO ALVES;20090114 18:30
